Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,2,Tue,2019-10-01,20:00 (15:00),Tottenham eng,2.5,2–7,1.6,de Bayern Munich,60127,Tottenham Hotspur Stadium,Clément Turpin,Match Report,
Group stage,2,Tue,2019-10-01,21:00 (15:00),Juventus it,1.8,3–0,0.7,de Leverkusen,34525,Allianz Stadium,William Collum,Match Report,
Group stage,2,Tue,2019-10-01,21:00 (15:00),Red Star rs,1.1,3–1,0.7,gr Olympiacos,43291,Stadion Rajko Mitić,Benoît Bastien,Match Report,
Group stage,2,Tue,2019-10-01,22:00 (15:00),Loko Moscow ru,0.8,0–2,2.9,es Atlético Madrid,27051,RZD Arena,Orel Grinfeeld,Match Report,
Group stage,2,Tue,2019-10-01,22:00 (15:00),Galatasaray tr,0.4,0–1,2.4,fr Paris S-G,46532,Türk Telekom Arena,Szymon Marciniak,Match Report,
Group stage,2,Wed,2019-10-02,18:55 (12:55),Genk be,0.9,0–0,2.0,it Napoli,19962,Luminus Arena,István Kovács,Match Report,
Group stage,2,Wed,2019-10-02,18:55 (12:55),Slavia Prague cz,1.4,0–2,1.5,de Dortmund,19370,Sinobo Stadium,Björn Kuipers,Match Report,
Group stage,2,Wed,2019-10-02,20:00 (15:00),Liverpool eng,2.4,4–3,2.0,at RB Salzburg,52243,Anfield,Andreas Ekberg,Match Report,
Group stage,2,Wed,2019-10-02,21:00 (15:00),Barcelona es,1.3,2–1,1.1,it Inter,86141,Camp Nou,Damir Skomina,Match Report,
Group stage,2,Wed,2019-10-02,21:00 (15:00),RB Leipzig de,1.7,0–2,1.4,fr Lyon,40194,Red Bull Arena,Antonio Matéu Lahoz,Match Report,
Group stage,2,Wed,2019-10-02,21:00 (15:00),Lille fr,0.5,1–2,1.1,eng Chelsea,48523,Stade Pierre-Mauroy,Aliaksei Kulbakou,Match Report,
Group stage,2,Wed,2019-10-02,21:00 (15:00),Valencia es,1.7,0–3,1.3,nl Ajax,44659,Estadio de Mestalla,Daniele Orsato,Match Report,
Group stage,2,Wed,2019-10-02,22:00 (15:00),Zenit ru,2.3,3–1,0.6,pt Benfica,51683,Gazprom Arena,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,,
Group stage,3,Tue,2019-10-22,18:55 (12:55),Atlético Madrid es,0.4,1–0,0.6,de Leverkusen,56776,Estadio Wanda Metropolitano,Artur Soares Dias,Match Report,
Group stage,3,Tue,2019-10-22,19:55 (12:55),Shakhtar ua,1.1,2–2,1.5,hr Dinamo Zagreb,21526,Oblasny SportKomplex Metalist,Antonio Matéu Lahoz,Match Report,
Group stage,3,Tue,2019-10-22,20:00 (15:00),Tottenham eng,2.8,5–0,0.9,rs Red Star,51743,Tottenham Hotspur Stadium,Marco Guida,Match Report,
Group stage,3,Tue,2019-10-22,20:00 (15:00),Manchester City eng,3.5,5–1,1.6,it Atalanta,49308,Etihad Stadium,Orel Grinfeeld,Match Report,
Group stage,3,Tue,2019-10-22,21:00 (15:00),Club Brugge be,0.3,0–5,3.1,fr Paris S-G,26946,Jan Breydelstadion,Daniel Siebert,Match Report,
Group stage,3,Tue,2019-10-22,21:00 (15:00),Juventus it,2.6,2–1,0.5,ru Loko Moscow,38547,Allianz Stadium,Tasos Sidiropoulos,Match Report,
Group stage,3,Tue,2019-10-22,22:00 (15:00),Olympiacos gr,0.7,2–3,2.6,de Bayern Munich,31670,Stadio Georgios Karaiskáki,Danny Makkelie,Match Report,
