Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,2,Thu,2017-09-28,21:05 (15:05),Skënderbeu Korçë al,1–1,ch Young Boys,3300,Elbasan Arena,Kevin Blom,Match Report,
Group stage,2,Thu,2017-09-28,21:05 (15:05),Lyon fr,1–1,it Atalanta,27715,Groupama Stadium,Daniel Siebert,Match Report,
Group stage,2,Thu,2017-09-28,21:05 (15:05),Partizan rs,2–3,ua Dynamo Kyiv,,Stadion Partizana,Svein Oddvar Moen,Match Report,
Group stage,2,Thu,2017-09-28,22:05 (15:05),AEK Athens gr,2–2,at Austria Wien,16954,Olympiako Stadio Spyros Louis,Paweł Gil,Match Report,
Group stage,2,Thu,2017-09-28,22:05 (15:05),Maccabi Tel Aviv il,0–0,es Villarreal,11865,Winner Stadium,Craig Pawson,Match Report,
Group stage,2,Thu,2017-09-28,22:05 (15:05),Sheriff Tiraspol md,0–0,dk FC Copenhagen,5070,Bolshaya Sportivnaya Arena,Clayton Pisani,Match Report,
Group stage,2,Thu,2017-09-28,22:05 (15:05),Ludogorets bg,2–1,de Hoffenheim,6155,Ludogorets Arena,Paweł Raczkowski,Match Report,
Group stage,2,Thu,2017-09-28,22:05 (15:05),Loko Moscow ru,3–0,cz Fastav Zlín,10065,RZD Arena,Lee Evans,Match Report,
,,,,,,,,,,,,
Group stage,3,Thu,2017-10-19,21:00 (11:00),FC Astana kz,4–0,il Maccabi Tel Aviv,10350,Astana Arena,Sergiy Boyko,Match Report,
Group stage,3,Thu,2017-10-19,19:00 (13:00),Zulte Waregem be,1–1,nl Vitesse,9488,Regenboogstadion,Ivan Bebek,Match Report,
Group stage,3,Thu,2017-10-19,19:00 (13:00),Lugano ch,3–2,cz Viktoria Plzeň,2530,swissporarena,Srđan Jovanović,Match Report,
Group stage,3,Thu,2017-10-19,19:00 (13:00),Red Star rs,0–1,eng Arsenal,50327,Stadion Rajko Mitić,Benoît Bastien,Match Report,
Group stage,3,Thu,2017-10-19,19:00 (13:00),Östersund se,2–2,es Athletic Club,7870,Jämtkraft Arena,István Kovács,Match Report,
Group stage,3,Thu,2017-10-19,19:00 (13:00),Marseille fr,2–1,pt Vitória,13359,Orange Vélodrome,Stefan Johannesson,Match Report,
Group stage,3,Thu,2017-10-19,19:00 (13:00),Nice fr,1–3,it Lazio,21386,Stade de Nice,Craig Thomson,Match Report,
Group stage,3,Thu,2017-10-19,20:00 (13:00),Be'er Sheva il,1–2,ro FCSB,15117,Turner Stadium,Kevin Blom,Match Report,
Group stage,3,Thu,2017-10-19,20:00 (13:00),FK Vardar mk,0–6,es Real Sociedad,20368,Türk Telekom Arena,Əliyar Ağayev,Match Report,
Group stage,3,Thu,2017-10-19,20:00 (13:00),BATE Borisov by,1–0,de Köln,11783,Borisov Arena,Hüseyin Göçek,Match Report,
Group stage,3,Thu,2017-10-19,20:00 (13:00),Konyaspor tr,0–2,at RB Salzburg,23354,Konya Büyükşehir Stadı,Craig Pawson,Match Report,
Group stage,3,Thu,2017-10-19,20:00 (13:00),Zorya Luhansk ua,2–1,de Hertha BSC,9521,L'viv Arena,Liran Liany,Match Report,
Group stage,3,Thu,2017-10-19,20:00 (13:00),Zenit ru,3–1,no Rosenborg,46211,Gazprom Arena,Tobias Stieler,Match Report,
Group stage,3,Thu,2017-10-19,20:05 (15:05),Everton eng,1–2,fr Lyon,27159,Goodison Park,Bas Nijhuis,Match Report,
Group stage,3,Thu,2017-10-19,20:05 (15:05),Braga pt,0–2,bg Ludogorets,8623,Estádio Municipal de Bragança,Davide Massa,Match Report,
Group stage,3,Thu,2017-10-19,21:05 (15:05),Milan it,0–0,gr AEK Athens,20812,Stadio Giuseppe Meazza,Andreas Ekberg,Match Report,
Group stage,3,Thu,2017-10-19,21:05 (15:05),Skënderbeu Korçë al,0–0,rs Partizan,6300,Elbasan Arena,Daniel Stefański,Match Report,
Group stage,3,Thu,2017-10-19,21:05 (15:05),Hoffenheim de,3–1,tr Başakşehir,21167,PreZero Arena,Aleksey Eskov,Match Report,
Group stage,3,Thu,2017-10-19,21:05 (15:05),Atalanta it,3–1,cy Apollon Limassol,13803,Stadio Città del Tricolore,Georgi Kabakov,Match Report,
Group stage,3,Thu,2017-10-19,21:05 (15:05),Villarreal es,2–2,cz Slavia Prague,15634,Estadio de la Cerámica,Svein Oddvar Moen,Match Report,
Group stage,3,Thu,2017-10-19,21:05 (15:05),Fastav Zlín cz,1–1,dk FC Copenhagen,6245,Andrův stadion,Oliver Drachta,Match Report,
Group stage,3,Thu,2017-10-19,21:05 (15:05),Austria Wien at,1–3,hr Rijeka,20690,Ernst-Happel-Stadion,Sandro Schärer,Match Report,
Group stage,3,Thu,2017-10-19,22:05 (15:05),Sheriff Tiraspol md,1–1,ru Loko Moscow,10500,Bolshaya Sportivnaya Arena,István Vad,Match Report,
Group stage,3,Thu,2017-10-19,22:05 (15:05),Dynamo Kyiv ua,2–2,ch Young Boys,21789,NSK Olimpijs'kyj,Mattias Gestranius,Match Report,
,,,,,,,,,,,,
Group stage,4,Thu,2017-11-02,19:00 (14:00),FC Copenhagen dk,3–0,cz Fastav Zlín,16189,Telia Parken,Nikola Dabanović,Match Report,
Group stage,4,Thu,2017-11-02,19:00 (14:00),Slavia Prague cz,0–2,es Villarreal,18403,Sinobo Stadium,Bobby Madden,Match Report,
Group stage,4,Thu,2017-11-02,19:00 (14:00),Partizan rs,2–0,al Skënderbeu Korçë,12659,Stadion Partizana,Carlos del Cerro,Match Report,
Group stage,4,Thu,2017-11-02,19:00 (14:00),Rijeka hr,1–4,at Austria Wien,7912,Nogometno igralište Rujevica,Jakob Kehlet,Match Report,
Group stage,4,Thu,2017-11-02,19:00 (14:00),Lyon fr,3–0,eng Everton,48103,Groupama Stadium,Orel Grinfeeld,Match Report,
Group stage,4,Thu,2017-11-02,19:00 (14:00),Young Boys ch,0–1,ua Dynamo Kyiv,10077,Stade de Suisse Wankdorf Bern,Tony Chapron,Match Report,
Group stage,4,Thu,2017-11-02,20:00 (14:00),Maccabi Tel Aviv il,0–1,kz FC Astana,7934,Winner Stadium,Paweł Raczkowski,Match Report,
Group stage,4,Thu,2017-11-02,20:00 (14:00),AEK Athens gr,0–0,it Milan,40538,Olympiako Stadio Spyros Louis,Jorge de Sousa,Match Report,
Group stage,4,Thu,2017-11-02,20:00 (14:00),Ludogorets bg,1–1,pt Braga,7544,Ludogorets Arena,Vladislav Bezborodov,Match Report,
Group stage,4,Thu,2017-11-02,20:00 (14:00),Apollon Limassol cy,1–1,it Atalanta,5658,Neo GSP,Andris Treimanis,Match Report,
Group stage,4,Thu,2017-11-02,21:00 (14:00),Loko Moscow ru,1–2,md Sheriff Tiraspol,10118,RZD Arena,Sébastien Delferière,Match Report,
Group stage,4,Thu,2017-11-02,21:00 (14:00),Başakşehir tr,1–1,de Hoffenheim,5214,Başakşehir Fatih Terim Stadium,Harald Lechner,Match Report,
Group stage,4,Thu,2017-11-02,20:05 (16:05),Arsenal eng,0–0,rs Red Star,58285,Emirates Stadium,Luca Banti,Match Report,
Group stage,4,Thu,2017-11-02,20:05 (16:05),Vitória pt,1–0,fr Marseille,14181,Estádio Dom Afonso Henriques,Tamás Bognár,Match Report,
Group stage,4,Thu,2017-11-02,21:05 (16:05),Viktoria Plzeň cz,4–1,ch Lugano,9483,Doosan Arena,Jonathan Lardot,Match Report,
Group stage,4,Thu,2017-11-02,21:05 (16:05),Rosenborg no,1–1,ru Zenit,18597,Lerkendal Stadion,Serdar Gözübüyük,Match Report,
Group stage,4,Thu,2017-11-02,21:05 (16:05),RB Salzburg at,0–0,tr Konyaspor,8773,Red Bull Arena,Paolo Mazzoleni,Match Report,
Group stage,4,Thu,2017-11-02,21:05 (16:05),Real Sociedad es,3–0,mk FK Vardar,17242,Estadio Municipal de Anoeta,Robert Schörgenhofer,Match Report,
