Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Round of 32,,Thu,2018-02-22,20:05 (15:05),Arsenal eng,1–2,se Östersund,58405,Arsenal Stadium (Neutral Site),Ivan Kružliak,Match Report,Leg 2 of 2; Arsenal won
Round of 32,,Thu,2018-02-22,21:05 (15:05),RB Salzburg at,2–1,es Real Sociedad,13912,Red Bull Arena (Neutral Site),Sergey Karasev,Match Report,Leg 2 of 2; RB Salzburg won
Round of 32,,Thu,2018-02-22,21:05 (15:05),Atalanta it,1–1,de Dortmund,17492,Stadio Città del Tricolore (Neutral Site),Jesús Gil,Match Report,Leg 2 of 2; Dortmund won
Round of 32,,Thu,2018-02-22,21:05 (15:05),Athletic Club es,1–2,ru Spartak Moscow,36873,San Mamés (Neutral Site),Tobias Stieler,Match Report,Leg 2 of 2; Athletic Club won
Round of 32,,Thu,2018-02-22,21:05 (15:05),Milan it,1–0,bg Ludogorets,17453,Stadio Giuseppe Meazza (Neutral Site),Alberto Undiano,Match Report,Leg 2 of 2; Milan won
Round of 16,,Thu,2018-03-08,19:00 (13:00),Dortmund de,1–2,at RB Salzburg,53700,Signal Iduna Park,Slavko Vinčić,Match Report,Leg 1 of 2
Round of 16,,Thu,2018-03-08,19:00 (13:00),Atlético Madrid es,3–0,ru Loko Moscow,40767,Estadio Wanda Metropolitano,Jakob Kehlet,Match Report,Leg 1 of 2
Round of 16,,Thu,2018-03-08,19:00 (13:00),Milan it,0–2,eng Arsenal,72821,Stadio Giuseppe Meazza,Clément Turpin,Match Report,Leg 1 of 2
Round of 16,,Thu,2018-03-08,21:00 (13:00),CSKA Moscow ru,0–1,fr Lyon,13990,VEB Arena,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Round of 16,,Thu,2018-03-08,20:05 (15:05),Sporting CP pt,2–0,cz Viktoria Plzeň,26090,Estádio José Alvalade,Aliaksei Kulbakov,Match Report,Leg 1 of 2
Round of 16,,Thu,2018-03-08,21:05 (15:05),RB Leipzig de,2–1,ru Zenit,19877,Red Bull Arena,Ovidiu Hațegan,Match Report,Leg 1 of 2
Round of 16,,Thu,2018-03-08,21:05 (15:05),Marseille fr,3–1,es Athletic Club,37657,Orange Vélodrome,Jorge de Sousa,Match Report,Leg 1 of 2
Round of 16,,Thu,2018-03-08,21:05 (15:05),Lazio it,2–2,ua Dynamo Kyiv,21562,Stadio Olimpico,Ivan Kružliak,Match Report,Leg 1 of 2
Round of 16,,Thu,2018-03-15,19:00 (12:00),Loko Moscow ru,1–5,es Atlético Madrid,22041,RZD Arena,Artur Soares Dias,Match Report,Leg 2 of 2; Atlético Madrid won
Round of 16,,Thu,2018-03-15,19:00 (14:00),Viktoria Plzeň cz,2–1,pt Sporting CP,9370,Doosan Arena,Tobias Stieler,Match Report,Leg 2 of 2; Sporting CP won
Round of 16,,Thu,2018-03-15,19:00 (14:00),Athletic Club es,1–2,fr Marseille,40580,Estadio San Mamés,Anthony Taylor,Match Report,Leg 2 of 2; Marseille won
Round of 16,,Thu,2018-03-15,20:00 (14:00),Dynamo Kyiv ua,0–2,it Lazio,52639,NSK Olimpijs'kyj,Jesús Gil,Match Report,Leg 2 of 2; Lazio won
Round of 16,,Thu,2018-03-15,21:00 (14:00),Zenit ru,1–1,de RB Leipzig,44092,Gazprom Arena,Daniele Orsato,Match Report,Leg 2 of 2; RB Leipzig won
Round of 16,,Thu,2018-03-15,20:05 (16:05),Arsenal eng,3–1,it Milan,58973,Emirates Stadium,Jonas Eriksson,Match Report,Leg 2 of 2; Arsenal won
Round of 16,,Thu,2018-03-15,21:05 (16:05),Lyon fr,2–3,ru CSKA Moscow,38622,Groupama Stadium,Bobby Madden,Match Report,Leg 2 of 2; CSKA Moscow won
Round of 16,,Thu,2018-03-15,21:05 (16:05),RB Salzburg at,0–0,de Dortmund,29520,Red Bull Arena,Benoît Bastien,Match Report,Leg 2 of 2; RB Salzburg won
Quarter-finals,,Thu,2018-04-05,20:05 (15:05),Arsenal eng,4–1,ru CSKA Moscow,58285,Emirates Stadium,Pavel Královec,Match Report,Leg 1 of 2
Quarter-finals,,Thu,2018-04-05,21:05 (15:05),RB Leipzig de,1–0,fr Marseille,34043,Red Bull Arena,Alberto Undiano,Match Report,Leg 1 of 2
Quarter-finals,,Thu,2018-04-05,21:05 (15:05),Atlético Madrid es,2–0,pt Sporting CP,53301,Estadio Wanda Metropolitano,Sergey Karasev,Match Report,Leg 1 of 2
Quarter-finals,,Thu,2018-04-05,21:05 (15:05),Lazio it,4–2,at RB Salzburg,42538,Stadio Olimpico,Ovidiu Hațegan,Match Report,Leg 1 of 2
Quarter-finals,,Thu,2018-04-12,20:05 (15:05),Sporting CP pt,1–0,es Atlético Madrid,28437,Estádio José Alvalade,Milorad Mažić,Match Report,Leg 2 of 2; Atlético Madrid won
Quarter-finals,,Thu,2018-04-12,21:05 (15:05),RB Salzburg at,4–1,it Lazio,29520,Red Bull Arena,Damir Skomina,Match Report,Leg 2 of 2; RB Salzburg won
Quarter-finals,,Thu,2018-04-12,21:05 (15:05),Marseille fr,5–2,de RB Leipzig,61882,Orange Vélodrome,Björn Kuipers,Match Report,Leg 2 of 2; Marseille won
Quarter-finals,,Thu,2018-04-12,22:05 (15:05),CSKA Moscow ru,2–2,eng Arsenal,29284,VEB Arena,Felix Zwayer,Match Report,Leg 2 of 2; Arsenal won
Semi-finals,,Thu,2018-04-26,20:05 (15:05),Arsenal eng,1–1,es Atlético Madrid,59066,Arsenal Stadium,Clément Turpin,Match Report,Leg 1 of 2
Semi-finals,,Thu,2018-04-26,21:05 (15:05),Marseille fr,2–0,at RB Salzburg,62312,Orange Vélodrome,William Collum,Match Report,Leg 1 of 2
Semi-finals,,Thu,2018-05-03,21:05 (15:05),Atlético Madrid es,1–0,eng Arsenal,64196,Estadio Wanda Metropolitano,Gianluca Rocchi,Match Report,Leg 2 of 2; Atlético Madrid won
Semi-finals,,Thu,2018-05-03,21:05 (15:05),RB Salzburg at,2–1,fr Marseille,29520,Red Bull Arena,Sergey Karasev,Match Report,Leg 2 of 2; Marseille won; Required Extra Time
Final,,Wed,2018-05-16,20:45 (14:45),Marseille fr,0–3,es Atlético Madrid,55768,Groupama Stadium (Neutral Site),Björn Kuipers,Match Report,
