Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,2019-09-19,18:55 (12:55),Rennes fr,1.0,1–1,1.2,sco Celtic,27026,Roazhon Park,José Sánchez,Match Report,
Group stage,1,Thu,2019-09-19,18:55 (12:55),PSV Eindhoven nl,0.7,3–2,1.4,pt Sporting CP,30000,Philips Stadion,Ivan Kružliak,Match Report,
Group stage,1,Thu,2019-09-19,18:55 (12:55),Basel ch,3.4,5–0,1.7,ru Krasnodar,14127,St. Jakob-Park,Mattias Gestranius,Match Report,
Group stage,1,Thu,2019-09-19,18:55 (12:55),FC Copenhagen dk,1.0,1–0,0.4,ch Lugano,18240,Telia Parken,Fábio Costa,Match Report,
Group stage,1,Thu,2019-09-19,18:55 (12:55),Standard Liège be,0.8,2–0,1.3,pt Vitória,13477,Stade Maurice Dufrasne,Sergey Ivanov,Match Report,
Group stage,1,Thu,2019-09-19,18:55 (12:55),Getafe es,1.1,1–0,0.2,tr Trabzonspor,5786,Coliseum Alfonso Pérez,Matej Jug,Match Report,
Group stage,1,Thu,2019-09-19,18:55 (12:55),Eint Frankfurt de,1.7,0–3,2.9,eng Arsenal,47000,Commerzbank-Arena,Davide Massa,Match Report,
Group stage,1,Thu,2019-09-19,18:55 (12:55),LASK at,2.0,1–0,0.3,no Rosenborg,12179,Linzer Stadion,Donatas Rumšas,Match Report,
Group stage,1,Thu,2019-09-19,19:55 (12:55),CFR Cluj ro,1.8,2–1,1.8,it Lazio,9222,Stadionul Dr. Constantin Rădulescu,Daniel Stefański,Match Report,
Group stage,1,Thu,2019-09-19,19:55 (12:55),APOEL cy,2.5,3–4,1.5,lu F91 Dudelange,9313,Neo GSP,Dumitru Muntean,Match Report,
Group stage,1,Thu,2019-09-19,19:55 (12:55),Dynamo Kyiv ua,1.3,1–0,0.4,se Malmö,17159,NSK Olimpijs'kyj,Aleksandar Stavrev,Match Report,
Group stage,1,Thu,2019-09-19,20:55 (12:55),Qarabağ Ağdam az,0.4,0–3,1.7,es Sevilla,30826,Tofiq Bəhramov adına Respublika stadionu,Yevhen Aranovskyi,Match Report,
Group stage,1,Thu,2019-09-19,20:00 (15:00),Wolves eng,1.2,0–1,0.5,pt Braga,28314,Molineux Stadium,Jakob Kehlet,Match Report,
Group stage,1,Thu,2019-09-19,20:00 (15:00),Porto pt,1.9,2–1,1.1,ch Young Boys,32929,Estádio Do Dragão,Andris Treimanis,Match Report,
Group stage,1,Thu,2019-09-19,20:00 (15:00),Manchester Utd eng,2.3,1–0,0.2,kz Astana FK,50783,Old Trafford,François Letexier,Match Report,
Group stage,1,Thu,2019-09-19,20:00 (15:00),Rangers sco,1.9,1–0,1.1,nl Feyenoord,46858,Ibrox Stadium,Antonio Matéu Lahoz,Match Report,
Group stage,1,Thu,2019-09-19,21:00 (15:00),Espanyol es,2.1,1–1,0.3,hu Ferencváros,18125,RCDE Stadium,Nikola Dabanović,Match Report,
Group stage,1,Thu,2019-09-19,21:00 (15:00),Wolfsburg de,1.0,3–1,0.3,ua FC Oleksandriya,10112,Volkswagen Arena,Halis Özkahya,Match Report,
Group stage,1,Thu,2019-09-19,21:00 (15:00),M'Gladbach de,1.4,0–4,1.0,at Wolfsberger AC,34846,Stadion im Borussia-Park,Tamás Bognár,Match Report,
Group stage,1,Thu,2019-09-19,21:00 (15:00),Partizan rs,3.3,2–2,1.4,nl AZ Alkmaar,22564,Stadion Partizana,Marco Guida,Match Report,
Group stage,1,Thu,2019-09-19,21:00 (15:00),Slovan Bratislava sk,2.4,4–2,1.6,tr Beşiktaş,5273,Štadión Tehelné pole,Kristo Tohver,Match Report,
Group stage,1,Thu,2019-09-19,21:00 (15:00),Gent be,0.7,3–2,1.1,fr Saint-Étienne,14928,GHELAMCO-arena,Roi Reinshreiber,Match Report,
Group stage,1,Thu,2019-09-19,21:00 (15:00),Roma it,3.4,4–0,0.5,tr Başakşehir,21348,Stadio Olimpico,Javier Estrada,Match Report,
Group stage,1,Thu,2019-09-19,22:00 (15:00),Ludogorets bg,2.5,5–1,1.2,ru CSKA Moscow,8423,Ludogorets Arena,Irfan Peljto,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Thu,2019-10-03,20:50 (10:50),Astana FK kz,0.2,1–2,2.5,rs Partizan,20137,Astana Arena,Mohammed Al Hakim,Match Report,
Group stage,2,Thu,2019-10-03,17:55 (12:55),Braga pt,0.7,2–2,1.1,sk Slovan Bratislava,9077,Estádio Municipal de Braga,Adrien Jaccottet,Match Report,
Group stage,2,Thu,2019-10-03,18:55 (12:55),Feyenoord nl,1.6,2–0,3.1,pt Porto,41000,Stadion Feijenoord,Sergey Karasev,Match Report,
Group stage,2,Thu,2019-10-03,18:55 (12:55),Wolfsberger AC at,0.9,1–1,1.6,it Roma,11169,Merkur Arena,Tiago Martins,Match Report,
Group stage,2,Thu,2019-10-03,18:55 (12:55),Ferencváros hu,1.4,0–3,1.5,bg Ludogorets,16163,Groupama Arena,Bartosz Frankowski,Match Report,
Group stage,2,Thu,2019-10-03,18:55 (12:55),AZ Alkmaar nl,0.6,0–0,0.6,eng Manchester Utd,13863,Cars Jeans Stadion,Gediminas Mažeika,Match Report,
Group stage,2,Thu,2019-10-03,18:55 (12:55),Saint-Étienne fr,0.2,1–1,0.4,de Wolfsburg,27000,Stade Geoffroy-Guichard,Craig Pawson,Match Report,
Group stage,2,Thu,2019-10-03,18:55 (12:55),Young Boys ch,1.9,2–1,0.7,sco Rangers,26348,Stade de Suisse Wankdorf Bern,Manuel Schüttengruber,Match Report,
Group stage,2,Thu,2019-10-03,19:55 (12:55),Başakşehir tr,1.3,1–1,1.3,de M'Gladbach,6000,Başakşehir Fatih Terim Stadium,Stuart Attwell,Match Report,
Group stage,2,Thu,2019-10-03,19:55 (12:55),FC Oleksandriya ua,1.2,1–1,0.6,be Gent,7588,L'viv Arena,Jens Maae,Match Report,
Group stage,2,Thu,2019-10-03,19:55 (12:55),Beşiktaş tr,0.8,0–1,0.9,eng Wolves,22670,Vodafone Arena,Harald Lechner,Match Report,
Group stage,2,Thu,2019-10-03,19:55 (12:55),CSKA Moscow ru,0.8,0–2,1.5,es Espanyol,22288,VEB Arena,Ali Palabıyık,Match Report,
Group stage,2,Thu,2019-10-03,20:00 (15:00),Vitória pt,0.7,0–1,1.4,de Eint Frankfurt,27000,Estádio Dom Afonso Henriques,Radu Petrescu,Match Report,
Group stage,2,Thu,2019-10-03,20:00 (15:00),Celtic sco,1.4,2–0,0.4,ro CFR Cluj,56172,Celtic Park,Daniel Siebert,Match Report,
Group stage,2,Thu,2019-10-03,20:00 (15:00),Sporting CP pt,1.1,2–1,2.0,at LASK,31225,Estádio José Alvalade,Alain Durieux,Match Report,
Group stage,2,Thu,2019-10-03,20:00 (15:00),Arsenal eng,4.1,4–0,0.5,be Standard Liège,58725,Emirates Stadium,Sandro Schärer,Match Report,
Group stage,2,Thu,2019-10-03,21:00 (15:00),Lugano ch,1.0,0–0,0.9,ua Dynamo Kyiv,1281,Kybunpark,Karim Abed,Match Report,
Group stage,2,Thu,2019-10-03,21:00 (15:00),Malmö se,0.6,1–1,0.1,dk FC Copenhagen,19884,Swedbank Stadion,Deniz Aytekin,Match Report,
Group stage,2,Thu,2019-10-03,21:00 (15:00),F91 Dudelange lu,1.5,1–4,3.3,az Qarabağ Ağdam,3005,Stade Josy Barthel,John Beaton,Match Report,
Group stage,2,Thu,2019-10-03,21:00 (15:00),Rosenborg no,1.6,1–4,2.0,nl PSV Eindhoven,10296,Lerkendal Stadion,Halil Meler,Match Report,
Group stage,2,Thu,2019-10-03,21:00 (15:00),Sevilla es,2.4,1–0,0.2,cy APOEL,30008,Estadio Ramón Sánchez Pizjuán,Bas Nijhuis,Match Report,
Group stage,2,Thu,2019-10-03,21:00 (15:00),Lazio it,0.6,2–1,0.9,fr Rennes,13072,Stadio Olimpico,Sergiy Boyko,Match Report,
Group stage,2,Thu,2019-10-03,22:00 (15:00),Trabzonspor tr,1.0,2–2,0.5,ch Basel,23867,Hüseyin Avni Aker Stadyumu,Marco Di Bello,Match Report,
Group stage,2,Thu,2019-10-03,22:00 (15:00),Krasnodar ru,1.7,1–2,1.9,es Getafe,20035,Krasnodar Stadium,Ivan Bebek,Match Report,
,,,,,,,,,,,,,,
Group stage,3,Thu,2019-10-24,17:55 (12:55),Porto pt,0.9,1–1,0.8,sco Rangers,31307,Estádio Do Dragão,Nikola Dabanović,Match Report,
Group stage,3,Thu,2019-10-24,18:55 (12:55),Partizan rs,0.8,0–1,1.1,eng Manchester Utd,25627,Stadion Partizana,Javier Estrada,Match Report,
Group stage,3,Thu,2019-10-24,18:55 (12:55),Young Boys ch,2.4,2–0,0.6,nl Feyenoord,27641,Stade de Suisse Wankdorf Bern,Jakob Kehlet,Match Report,
Group stage,3,Thu,2019-10-24,18:55 (12:55),AZ Alkmaar nl,5.2,6–0,0.2,kz Astana FK,8123,Cars Jeans Stadion,Enea Jorgji,Match Report,
Group stage,3,Thu,2019-10-24,18:55 (12:55),Slovan Bratislava sk,0.6,1–2,1.3,eng Wolves,20333,Štadión Tehelné pole,Yevhen Aranovskyi,Match Report,
Group stage,3,Thu,2019-10-24,18:55 (12:55),Saint-Étienne fr,1.0,1–1,0.2,ua FC Oleksandriya,28573,Stade Geoffroy-Guichard,Espen Andreas Eskås,Match Report,
Group stage,3,Thu,2019-10-24,18:55 (12:55),Gent be,1.1,2–2,1.9,de Wolfsburg,14000,GHELAMCO-arena,Sergey Ivanov,Match Report,
Group stage,3,Thu,2019-10-24,18:55 (12:55),Roma it,1.0,1–1,2.0,de M'Gladbach,29037,Stadio Olimpico,William Collum,Match Report,
Group stage,3,Thu,2019-10-24,19:55 (12:55),Ludogorets bg,0.4,0–1,0.5,es Espanyol,10334,Ludogorets Arena,Əliyar Ağayev,Match Report,
Group stage,3,Thu,2019-10-24,19:55 (12:55),CSKA Moscow ru,1.9,0–1,1.4,hu Ferencváros,18518,VEB Arena,Pavel Orel,Match Report,
Group stage,3,Thu,2019-10-24,19:55 (12:55),Başakşehir tr,0.9,1–0,1.1,at Wolfsberger AC,5000,Başakşehir Fatih Terim Stadium,Irfan Peljto,Match Report,
Group stage,3,Thu,2019-10-24,19:55 (12:55),Beşiktaş tr,1.9,1–2,1.9,pt Braga,20956,Vodafone Arena,Alejandro Hernández,Match Report,
Group stage,3,Thu,2019-10-24,20:55 (12:55),Qarabağ Ağdam az,1.6,2–2,0.4,cy APOEL,30824,Tofiq Bəhramov adına Respublika stadionu,Filip Glova,Match Report,
Group stage,3,Thu,2019-10-24,20:00 (15:00),Arsenal eng,2.0,3–2,0.9,pt Vitória,60195,Emirates Stadium,Serdar Gözübüyük,Match Report,
Group stage,3,Thu,2019-10-24,20:00 (15:00),Sporting CP pt,1.1,1–0,0.5,no Rosenborg,27671,Estádio José Alvalade,Lawrence Visser,Match Report,
Group stage,3,Thu,2019-10-24,20:00 (15:00),Celtic sco,1.0,2–1,1.1,it Lazio,56172,Celtic Park,Ivan Bebek,Match Report,
Group stage,3,Thu,2019-10-24,21:00 (15:00),PSV Eindhoven nl,1.1,0–0,1.0,at LASK,29000,Philips Stadion,Chris Kavanagh,Match Report,
Group stage,3,Thu,2019-10-24,21:00 (15:00),Eint Frankfurt de,1.5,2–1,1.1,be Standard Liège,47000,Commerzbank-Arena,Daniel Stefański,Match Report,
Group stage,3,Thu,2019-10-24,21:00 (15:00),Malmö se,1.7,2–1,0.7,ch Lugano,16789,Swedbank Stadion,Robert Harvey,Match Report,
Group stage,3,Thu,2019-10-24,21:00 (15:00),Sevilla es,3.3,3–0,0.2,lu F91 Dudelange,26165,Estadio Ramón Sánchez Pizjuán,Anastasios Papapetrou,Match Report,
Group stage,3,Thu,2019-10-24,21:00 (15:00),Rennes fr,1.3,0–1,1.1,ro CFR Cluj,27330,Roazhon Park,Aleksey Eskov,Match Report,
Group stage,3,Thu,2019-10-24,21:00 (15:00),Getafe es,0.6,0–1,0.5,ch Basel,6213,Coliseum Alfonso Pérez,Jérôme Brisard,Match Report,
Group stage,3,Thu,2019-10-24,22:00 (15:00),Dynamo Kyiv ua,0.7,1–1,0.7,dk FC Copenhagen,21202,NSK Olimpijs'kyj,Halil Meler,Match Report,
Group stage,3,Thu,2019-10-24,22:00 (15:00),Trabzonspor tr,1.7,0–2,2.7,ru Krasnodar,26405,Hüseyin Avni Aker Stadyumu,Harald Lechner,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Wed,2019-11-06,15:50 (10:50),Vitória pt,0.9,1–1,0.4,eng Arsenal,17822,Estádio Dom Afonso Henriques,Halis Özkahya,Match Report,
Group stage,4,Thu,2019-11-07,21:50 (10:50),Astana FK kz,0.2,0–5,4.2,nl AZ Alkmaar,11584,Astana Arena,Mads-Kristoffer Kristoffersen,Match Report,
Group stage,4,Thu,2019-11-07,18:55 (12:55),Rosenborg no,0.8,0–2,0.7,pt Sporting CP,11018,Lerkendal Stadion,Kevin Clancy,Match Report,
Group stage,4,Thu,2019-11-07,18:55 (12:55),F91 Dudelange lu,1.0,2–5,4.7,es Sevilla,2848,Stade Josy Barthel,Vilhjálmur Thórarinsson,Match Report,
Group stage,4,Thu,2019-11-07,18:55 (12:55),FC Copenhagen dk,0.7,1–1,1.3,ua Dynamo Kyiv,23166,Telia Parken,Tamás Bognár,Match Report,
Group stage,4,Thu,2019-11-07,18:55 (12:55),LASK at,2.5,4–1,1.5,nl PSV Eindhoven,12658,Linzer Stadion,Radu Petrescu,Match Report,
Group stage,4,Thu,2019-11-07,18:55 (12:55),Basel ch,1.5,2–1,1.7,es Getafe,26298,St. Jakob-Park,Sergiy Boyko,Match Report,
Group stage,4,Thu,2019-11-07,18:55 (12:55),Lugano ch,1.1,0–0,0.3,se Malmö,1875,Kybunpark,Giorgi Kruashvili,Match Report,
Group stage,4,Thu,2019-11-07,18:55 (12:55),Lazio it,1.4,1–2,1.0,sco Celtic,26155,Stadio Olimpico,Tobias Stieler,Match Report,
Group stage,4,Thu,2019-11-07,18:55 (12:55),Standard Liège be,1.5,2–1,1.4,de Eint Frankfurt,20000,Stade Maurice Dufrasne,Matej Jug,Match Report,
Group stage,4,Thu,2019-11-07,19:55 (12:55),CFR Cluj ro,0.5,1–0,1.2,fr Rennes,11067,Stadionul Dr. Constantin Rădulescu,Tiago Martins,Match Report,
Group stage,4,Thu,2019-11-07,19:55 (12:55),APOEL cy,1.4,2–1,1.1,az Qarabağ Ağdam,9432,Neo GSP,Manuel Schüttengruber,Match Report,
Group stage,4,Thu,2019-11-07,20:55 (12:55),Krasnodar ru,1.5,3–1,0.3,tr Trabzonspor,21669,Krasnodar Stadium,Benoît Bastien,Match Report,
Group stage,4,Thu,2019-11-07,20:00 (15:00),Braga pt,1.9,3–1,0.6,tr Beşiktaş,8833,Estádio Municipal de Braga,Gediminas Mažeika,Match Report,
