Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Round of 32,,Thu,2/14/2019,21:00 (15:00),Zürich ch,1.8,1–3,2.3,it Napoli,24000,Stadion Letzigrund,Danilo Grujić,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,21:00 (15:00),Malmö se,1.1,1–2,2.4,eng Chelsea,20312,Malmö Stadion,Aliaksei Kulbakou,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,21:00 (15:00),Club Brugge be,0.8,2–1,0.7,at RB Salzburg,16457,Jan Breydelstadion,Georgi Kabakov,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,22:00 (15:00),Shakhtar ua,1.2,2–2,1.8,de Eint Frankfurt,13059,Oblasny SportKomplex Metalist,Anthony Taylor,Match Report,Leg 1 of 2
Round of 32,,Wed,2/20/2019,18:00 (12:00),Sevilla es,0.7,2–0,1.1,it Lazio,34521,Estadio Ramón Sánchez Pizjuán,Anthony Taylor,Match Report,Leg 2 of 2; Sevilla won
Round of 32,,Thu,2/21/2019,17:55 (12:55),Arsenal eng,1.7,3–0,0.6,by BATE Borisov,58812,Emirates Stadium,Alberto Undiano,Match Report,Leg 2 of 2; Arsenal won
Round of 32,,Thu,2/21/2019,18:55 (12:55),Napoli it,2.6,2–0,0.6,ch Zürich,17579,Stadio San Paolo,Tasos Sidiropoulos,Match Report,Leg 2 of 2; Napoli won
Round of 32,,Thu,2/21/2019,18:55 (12:55),Eint Frankfurt de,2.6,4–1,0.6,ua Shakhtar,47000,Commerzbank-Arena,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Eint Frankfurt won
Round of 32,,Thu,2/21/2019,18:55 (12:55),Valencia es,2.3,1–0,0.8,sco Celtic,36619,Estadio de Mestalla,Deniz Aytekin,Match Report,Leg 2 of 2; Valencia won
Round of 32,,Thu,2/21/2019,18:55 (12:55),RB Salzburg at,2.2,4–0,1.2,be Club Brugge,24717,Red Bull Arena,Daniel Siebert,Match Report,Leg 2 of 2; RB Salzburg won
Round of 32,,Thu,2/21/2019,18:55 (12:55),Dinamo Zagreb hr,1.7,3–0,0.3,cz Viktoria Plzeň,25860,Stadion Maksimir,István Kovács,Match Report,Leg 2 of 2; Dinamo Zagreb won
Round of 32,,Thu,2/21/2019,18:55 (12:55),Villarreal es,1.5,1–1,1,pt Sporting CP,14098,Estadio de la Cerámica,Pavel Královec,Match Report,Leg 2 of 2; Villarreal won
Round of 32,,Thu,2/21/2019,20:55 (12:55),Zenit ru,1.1,3–1,0.3,tr Fenerbahçe,50448,Gazprom Arena,Michael Oliver,Match Report,Leg 2 of 2; Zenit won
Round of 32,,Thu,2/21/2019,20:00 (15:00),Benfica pt,1.2,0–0,0.2,tr Galatasaray,49545,Estádio do Sport Lisboa e Benfica,Ovidiu Hațegan,Match Report,Leg 2 of 2; Benfica won
Round of 32,,Thu,2/21/2019,20:00 (15:00),Chelsea eng,1.9,3–0,0.3,se Malmö,39813,Stamford Bridge,Orel Grinfeeld,Match Report,Leg 2 of 2; Chelsea won
Round of 32,,Thu,2/21/2019,21:00 (15:00),Genk be,0.9,1–4,1.9,cz Slavia Prague,13688,Luminus Arena,Bobby Madden,Match Report,Leg 2 of 2; Slavia Prague won
Round of 32,,Thu,2/21/2019,21:00 (15:00),Betis es,1.9,1–3,2.4,fr Rennes,43623,Estadio Benito Villamarín,Viktor Kassai,Match Report,Leg 2 of 2; Rennes won
Round of 32,,Thu,2/21/2019,21:00 (15:00),Inter it,2,4–0,0.4,at Rapid Wien,32158,Stadio Giuseppe Meazza,Artur Dias,Match Report,Leg 2 of 2; Inter won
Round of 32,,Thu,2/21/2019,21:00 (15:00),Leverkusen de,1.3,1–1,1.9,ru Krasnodar,16084,BayArena,Gediminas Mažeika,Match Report,Leg 2 of 2; Krasnodar won
Round of 32,,Thu,2/21/2019,22:00 (15:00),Dynamo Kyiv ua,1.1,1–0,1.2,gr Olympiacos,48902,NSK Olimpijs'kyj,Ivan Kružliak,Match Report,Leg 2 of 2; Dynamo Kyiv won
Round of 16,,Thu,3/7/2019,18:55 (12:55),Rennes fr,1.1,3–1,1,eng Arsenal,29100,Roazhon Park,Filip Glova,Match Report,Leg 1 of 2
Round of 16,,Thu,3/7/2019,18:55 (12:55),Sevilla es,2.6,2–2,0.4,cz Slavia Prague,30698,Estadio Ramón Sánchez Pizjuán,Ruddy Buquet,Match Report,Leg 1 of 2
Round of 16,,Thu,3/7/2019,18:55 (12:55),Dinamo Zagreb hr,1.3,1–0,0.6,pt Benfica,29704,Stadion Maksimir,Michael Oliver,Match Report,Leg 1 of 2
Round of 16,,Thu,3/7/2019,18:55 (12:55),Eint Frankfurt de,1.2,0–0,1.4,it Inter,48000,Commerzbank-Arena,William Collum,Match Report,Leg 1 of 2
Round of 16,,Thu,3/7/2019,20:55 (12:55),Zenit ru,1.6,1–3,0.8,es Villarreal,51826,Gazprom Arena,Paolo Valeri,Match Report,Leg 1 of 2
Round of 16,,Thu,3/7/2019,20:00 (15:00),Chelsea eng,2.3,3–0,0.1,ua Dynamo Kyiv,37280,Stamford Bridge,Nejc Kajtazović,Match Report,Leg 1 of 2
Round of 16,,Thu,3/7/2019,21:00 (15:00),Valencia es,1.7,2–1,0.8,ru Krasnodar,36274,Estadio de Mestalla,Orel Grinfeeld,Match Report,Leg 1 of 2
Round of 16,,Thu,3/7/2019,21:00 (15:00),Napoli it,2.6,3–0,1.2,at RB Salzburg,32579,Stadio San Paolo,Aliaksei Kulbakou,Match Report,Leg 1 of 2
Round of 16,,Thu,3/14/2019,18:55 (13:55),RB Salzburg at,2,3–1,0.8,it Napoli,29520,Red Bull Arena,Ricardo de Burgos,Match Report,Leg 2 of 2; Napoli won
Round of 16,,Thu,3/14/2019,19:55 (13:55),Dynamo Kyiv ua,0.7,0–5,2.9,eng Chelsea,64830,NSK Olimpijs'kyj,Tobias Stieler,Match Report,Leg 2 of 2; Chelsea won
Round of 16,,Thu,3/14/2019,20:55 (13:55),Krasnodar ru,0.8,1–1,1.1,es Valencia,35074,Krasnodar Stadium,Anthony Taylor,Match Report,Leg 2 of 2; Valencia won
Round of 16,,Thu,3/14/2019,20:00 (16:00),Benfica pt,1.4,3–0,0.9,hr Dinamo Zagreb,47808,Estádio do Sport Lisboa e Benfica,Deniz Aytekin,Match Report,Leg 2 of 2; Benfica won; Required Extra Time
Round of 16,,Thu,3/14/2019,20:00 (16:00),Arsenal eng,2.6,3–0,0.5,fr Rennes,59453,Arsenal Stadium,Andris Treimanis,Match Report,Leg 2 of 2; Arsenal won
Round of 16,,Thu,3/14/2019,21:00 (16:00),Slavia Prague cz,2.1,4–3,1.5,es Sevilla,19020,Sinobo Stadium,Aliaksei Kulbakou,Match Report,Leg 2 of 2; Slavia Prague won; Required Extra Time
Round of 16,,Thu,3/14/2019,21:00 (16:00),Inter it,0.6,0–1,2.3,de Eint Frankfurt,49866,Stadio Giuseppe Meazza,Ovidiu Hațegan,Match Report,Leg 2 of 2; Eint Frankfurt won
Round of 16,,Thu,3/14/2019,21:00 (16:00),Villarreal es,1.4,2–1,1.5,ru Zenit,14027,Estadio de la Cerámica,Artur Dias,Match Report,Leg 2 of 2; Villarreal won
Quarter-finals,,Thu,4/11/2019,20:00 (15:00),Arsenal eng,1.5,2–0,1.2,it Napoli,59738,Emirates Stadium,Alberto Undiano,Match Report,Leg 1 of 2
Quarter-finals,,Thu,4/11/2019,20:00 (15:00),Benfica pt,2.2,4–2,1.4,de Eint Frankfurt,54175,Estádio do Sport Lisboa e Benfica,Anthony Taylor,Match Report,Leg 1 of 2
Quarter-finals,,Thu,4/11/2019,21:00 (15:00),Slavia Prague cz,0.4,0–1,0.5,eng Chelsea,17484,Sinobo Stadium,Felix Zwayer,Match Report,Leg 1 of 2
Quarter-finals,,Thu,4/11/2019,21:00 (15:00),Villarreal es,1.8,1–3,1.7,es Valencia,17605,Estadio de la Cerámica,Michael Oliver,Match Report,Leg 1 of 2
Quarter-finals,,Thu,4/18/2019,20:00 (15:00),Chelsea eng,2.7,4–3,0.5,cz Slavia Prague,38326,Stamford Bridge,Damir Skomina,Match Report,Leg 2 of 2; Chelsea won
Quarter-finals,,Thu,4/18/2019,21:00 (15:00),Eint Frankfurt de,1.4,2–0,0.3,pt Benfica,48000,Commerzbank-Arena,Daniele Orsato,Match Report,Leg 2 of 2; Eint Frankfurt won
Quarter-finals,,Thu,4/18/2019,21:00 (15:00),Napoli it,1.1,0–1,0.9,eng Arsenal,39438,Stadio San Paolo,Ovidiu Hațegan,Match Report,Leg 2 of 2; Arsenal won
Quarter-finals,,Thu,4/18/2019,21:00 (15:00),Valencia es,0.8,2–0,1.2,es Villarreal,26403,Estadio de Mestalla,William Collum,Match Report,Leg 2 of 2; Valencia won
Semi-finals,,Thu,5/2/2019,20:00 (15:00),Arsenal eng,2,3–1,1.9,es Valencia,58969,Emirates Stadium,Clément Turpin,Match Report,Leg 1 of 2
Semi-finals,,Thu,5/2/2019,21:00 (15:00),Eint Frankfurt de,0.6,1–1,1,eng Chelsea,48000,Commerzbank-Arena,Carlos del Cerro,Match Report,Leg 1 of 2
Semi-finals,,Thu,5/9/2019,20:00 (15:00),Chelsea eng,1.9,1–1,2.2,de Eint Frankfurt,36070,Stamford Bridge,Ovidiu Hațegan,Match Report,Leg 2 of 2; Chelsea won on penalty kicks following extra time
Semi-finals,,Thu,5/9/2019,21:00 (15:00),Valencia es,2.2,2–4,0.8,eng Arsenal,44481,Estadio de Mestalla,Danny Makkelie,Match Report,Leg 2 of 2; Arsenal won
Final,,Wed,5/29/2019,23:00 (15:00),Chelsea eng,2.1,4–1,1.4,eng Arsenal,51370,Bakı Olimpiya Stadionu,Gianluca Rocchi,Match Report,
