HomeTeam,AwayTeam,FTHG,FTAG,is_group_stage
Rangers,Young Boys,1.0,1.0,True
Porto,Feyenoord,3.0,2.0,True
Wolves,Beşiktaş,4.0,0.0,True
Man United,AZ Alkmaar,4.0,0.0,True
Partizan,Astana FK,4.0,1.0,True
Gent,FC Oleksandriya,2.0,1.0,True
Wolfsburg,SaintÉtienne,1.0,0.0,True
M'Gladbach,Başakşehir,1.0,2.0,True
Slovan Bratislava,Braga,2.0,4.0,True
Espanyol,CSKA Moscow,0.0,1.0,True
Roma,Wolfsberger AC,2.0,2.0,True
Ludogorets,Ferencváros,1.0,1.0,True
,,,,False
Sporting CP,Başakşehir,3.0,1.0,False
Eint Frankfurt,RB Salzburg,4.0,1.0,False
Getafe,Ajax,2.0,0.0,False
FC Copenhagen,Celtic,1.0,1.0,False
Club Brugge,Man United,1.0,1.0,False
Shakhtar,Benfica,2.0,1.0,False
CFR Cluj,Sevilla,1.0,1.0,False
Ludogorets,Inter,0.0,2.0,False
Wolves,Espanyol,4.0,0.0,False
Rangers,Braga,3.0,2.0,False
AZ Alkmaar,LASK,1.0,1.0,False
Roma,Gent,1.0,0.0,False
Wolfsburg,Malmö,2.0,1.0,False
Leverkusen,Porto,2.0,1.0,False
APOEL,Basel,0.0,3.0,False
Olympiacos,Arsenal,0.0,1.0,False
Braga,Rangers,0.0,1.0,False
Porto,Leverkusen,1.0,3.0,False
Basel,APOEL,1.0,0.0,False
LASK,AZ Alkmaar,2.0,0.0,False
Gent,Roma,1.0,1.0,False
Malmö,Wolfsburg,0.0,3.0,False
Espanyol,Wolves,3.0,2.0,False
Başakşehir,Sporting CP,4.0,1.0,False
Celtic,FC Copenhagen,1.0,3.0,False
Arsenal,Olympiacos,1.0,2.0,False
Man United,Club Brugge,5.0,0.0,False
Benfica,Shakhtar,3.0,3.0,False
Sevilla,CFR Cluj,0.0,0.0,False
Inter,Ludogorets,2.0,1.0,False
Ajax,Getafe,2.0,1.0,False
RB Salzburg,Eint Frankfurt,2.0,2.0,False
Eint Frankfurt,Basel,0.0,3.0,False
