HomeTeam,AwayTeam,FTHG,FTAG,is_group_stage
Barcelona,PSV Eindhoven,4.0,0.0,True
Inter,Tottenham,2.0,1.0,True
Liverpool,Paris SG,3.0,2.0,True
Red Star,Napoli,0.0,0.0,True
Club Brugge,Dortmund,0.0,1.0,True
Monaco,Ath Madrid,1.0,2.0,True
Schalke 04,Porto,1.0,1.0,True
Galatasaray,Loko Moscow,3.0,0.0,True
Ajax,AEK Athens,3.0,0.0,True
Shakhtar,Hoffenheim,2.0,2.0,True
Man City,Lyon,1.0,2.0,True
Benfica,Bayern Munich,0.0,2.0,True
Valencia,Juventus,0.0,2.0,True
Real Madrid,Roma,3.0,0.0,True
Young Boys,Man United,0.0,3.0,True
Viktoria Plzeň,CSKA Moscow,2.0,2.0,True
,,,,False
Hoffenheim,Man City,1.0,2.0,True
Juventus,Young Boys,3.0,0.0,True
Man United,Valencia,0.0,0.0,True
Bayern Munich,Ajax,1.0,1.0,True
Lyon,Shakhtar,2.0,2.0,True
Roma,Viktoria Plzeň,5.0,0.0,True
CSKA Moscow,Real Madrid,1.0,0.0,True
AEK Athens,Benfica,2.0,3.0,True
Paris SG,Red Star,6.0,1.0,True
Loko Moscow,Schalke 04,0.0,1.0,True
Porto,Galatasaray,1.0,0.0,True
Tottenham,Barcelona,2.0,4.0,True
Dortmund,Monaco,3.0,0.0,True
PSV Eindhoven,Inter,1.0,2.0,True
Napoli,Liverpool,1.0,0.0,True
Ath Madrid,Club Brugge,3.0,1.0,True
,,,,False
Young Boys,Valencia,1.0,1.0,True
AEK Athens,Bayern Munich,0.0,2.0,True
Man United,Juventus,0.0,1.0,True
Real Madrid,Viktoria Plzeň,2.0,1.0,True
Roma,CSKA Moscow,3.0,0.0,True
Hoffenheim,Lyon,3.0,3.0,True
Ajax,Benfica,1.0,0.0,True
Shakhtar,Man City,0.0,3.0,True
Club Brugge,Monaco,1.0,1.0,True
PSV Eindhoven,Tottenham,2.0,2.0,True
Liverpool,Red Star,4.0,0.0,True
Barcelona,Inter,2.0,0.0,True
Paris SG,Napoli,2.0,2.0,True
Dortmund,Ath Madrid,4.0,0.0,True
Loko Moscow,Porto,1.0,3.0,True
Galatasaray,Schalke 04,0.0,0.0,True
,,,,False
Red Star,Liverpool,2.0,0.0,True
Monaco,Club Brugge,0.0,4.0,True
Porto,Loko Moscow,4.0,1.0,True
Tottenham,PSV Eindhoven,2.0,1.0,True
Napoli,Paris SG,1.0,1.0,True
Schalke 04,Galatasaray,2.0,0.0,True
Ath Madrid,Dortmund,2.0,0.0,True
Inter,Barcelona,1.0,1.0,True
